13210;Relaciones interpersonales
13210;Resolución de problemas complejos
13210;Trabajo en equipo
13220;Comprensión de lectura
13220;Comunicación asertiva
13220;Creatividad
13220;Criterio y toma de decisiones
13220;Escucha activa
13220;Evaluación y control de actividades
13220;Flexibilidad y adaptabilidad
13220;Gestión de recursos de personal
13220;Gestión de recursos financieros
13220;Gestión del tiempo
13220;Liderazgo
13220;Pensamiento crítico
13220;Resolución de problemas complejos
13220;Trabajo en equipo
13230;Análisis de necesidades
13230;Comprensión de lectura
13230;Comunicación asertiva
13230;Escucha activa
13230;Evaluación y control de actividades
13230;Gestión de recursos de personal
13230;Gestión de recursos financieros
13230;Gestión de recursos materiales
13230;Gestión del tiempo
13230;Interpretación
13230;Liderazgo
13230;Lógica matemática
13230;Pensamiento crítico
13230;Redacción de textos
13230;Trabajo en equipo
13241;Comprensión de lectura
13241;Comunicación asertiva
13241;Criterio y toma de decisiones
13241;Escucha activa
13241;Evaluación y control de actividades
13241;Pensamiento crítico
13241;Resolución de problemas complejos
13241;Trabajo bajo presión
13241;Trabajo en equipo
13242;Comprensión de lectura
13242;Comunicación asertiva
13242;Escucha activa
13242;Evaluación y control de actividades
13242;Pensamiento crítico
13242;Trabajo en equipo
13243;Comprensión de lectura
13243;Comunicación asertiva
13243;Criterio y toma de decisiones
13243;Escucha activa
13243;Evaluación y control de actividades
13243;Pensamiento crítico
13243;Resolución de problemas complejos
13243;Trabajo bajo presión
13243;Trabajo en equipo
13244;Comprensión de lectura
13244;Comunicación asertiva
13244;Criterio y toma de decisiones
13244;Escucha activa
13244;Evaluación y control de actividades
13244;Pensamiento crítico
13244;Resolución de problemas complejos
13244;Trabajo bajo presión
13244;Trabajo en equipo
13301;Análisis de necesidades
13301;Comprensión de lectura
13301;Evaluación y control de actividades
13301;Pensamiento crítico
13301;Resolución de problemas complejos
13301;Transmisión de conocimiento
13301;Vigilancia de las operaciones
13302;Análisis de necesidades
13302;Análisis de procesos
13302;Comprensión de lectura
13302;Creatividad
13302;Criterio y toma de decisiones
13302;Escucha activa
13302;Gestión de recursos de personal
13302;Gestión de recursos financieros
13302;Gestión de recursos materiales
13302;Liderazgo
13302;Orientación al servicio
13302;Pensamiento crítico
13302;Resolución de problemas complejos
13302;Trabajo en equipo
13302;Transmisión de conocimiento
13303;Comprensión de lectura
13303;Comunicación asertiva
13303;Creatividad
13303;Escucha activa
13303;Evaluación y control de actividades
13303;Pensamiento crítico
13303;Proactividad
13303;Redacción de textos
13303;Relaciones interpersonales
13410;Análisis de necesidades
13410;Comprensión de lectura
13410;Comunicación asertiva
13410;Creatividad
13410;Escucha activa
13410;Flexibilidad y adaptabilidad
13410;Gestión de recursos de personal
13410;Gestión de recursos materiales
13410;Gestión del tiempo
13410;Resolución de problemas complejos
13410;Trabajo bajo presión
13410;Trabajo en equipo
13420;Comprensión de lectura
13420;Comunicación asertiva
13420;Criterio y toma de decisiones
13420;Escucha activa
13420;Gestión del tiempo
13420;Liderazgo
13420;Pensamiento crítico
13420;Relaciones interpersonales
13420;Resolución de problemas complejos
13420;Trabajo bajo presión
13420;Trabajo en equipo
13420;Transmisión de conocimiento
13430;Comprensión de lectura
13430;Comunicación asertiva
13430;Escucha activa
13430;Gestión del tiempo
13430;Liderazgo
13430;Pensamiento crítico
13430;Relaciones interpersonales
13430;Resolución de problemas complejos
13430;Trabajo bajo presión
13430;Trabajo en equipo
13440;Comprensión de lectura
13440;Comunicación asertiva
13440;Conciliación
13440;Escucha activa
13440;Gestión de recursos de personal
13440;Gestión de recursos financieros
13440;Gestión del tiempo
13440;Liderazgo
13440;Orientación al servicio
13440;Persuasión
13440;Relaciones interpersonales
13440;Resolución de problemas complejos
13440;Transmisión de conocimiento
13451;Comprensión de lectura
13451;Comunicación asertiva
13451;Escucha activa
13451;Estrategias para el aprendizaje
13451;Flexibilidad y adaptabilidad
13451;Gestión de recursos de personal
13451;Gestión de recursos financieros
13451;Liderazgo
13451;Pensamiento crítico
13451;Redacción de textos
13451;Trabajo bajo presión
13451;Transmisión de conocimiento
13452;Comprensión de lectura
13452;Comunicación asertiva
13452;Creatividad
13452;Criterio y toma de decisiones
13452;Escucha activa
13452;Evaluación y control de actividades
13452;Gestión de recursos de personal
13452;Gestión de recursos financieros
13452;Gestión del tiempo
13452;Liderazgo
13452;Pensamiento crítico
13452;Persuasión
13452;Redacción de textos
13452;Relaciones interpersonales
13452;Trabajo en equipo
13452;Transmisión de conocimiento
13453;Gestión de recursos de personal
13453;Gestión del tiempo
13453;Liderazgo
13453;Pensamiento crítico
13453;Redacción de textos
13460;Comprensión de lectura
13460;Comunicación asertiva
13460;Criterio y toma de decisiones
13460;Escucha activa
13460;Evaluación y control de actividades
13460;Manejo de imprevistos
13460;Orientación al servicio
13460;Pensamiento crítico
13460;Persuasión
13460;Relaciones interpersonales
13460;Trabajo en equipo
13491;Comprensión de lectura
13491;Comunicación asertiva
13491;Conciliación
13491;Escucha activa
13491;Evaluación y control de actividades
13491;Liderazgo
13491;Orientación al servicio
13491;Pensamiento crítico
13491;Redacción de textos
13491;Relaciones interpersonales
13491;Trabajo en equipo
13492;Comprensión de lectura
13492;Comunicación asertiva
13492;Escucha activa
13492;Evaluación y control de actividades
13492;Gestión de recursos de personal
13492;Gestión de recursos financieros
13492;Pensamiento crítico
13492;Persuasión
13492;Relaciones interpersonales
13492;Resolución de problemas complejos
13492;Trabajo en equipo
13499;Comprensión de lectura
