codigo_cuoc_2022;denominacion_cuoc_2022
21510.017;Ingeniero de sistemas eléctricos
21510.018;Ingeniero de tracción eléctrica
21510.019;Ingeniero de transmisión de potencia eléctrica
21510.020;Ingeniero electricista
21510.021;Ingeniero electricista de diseño de instrumentación industrial
21510.022;Ingeniero electricista de generación de energía eléctrica
21510.023;Ingeniero electricista de iluminación
21510.024;Ingeniero electricista de instalación y mantenimiento de tendidos eléctricos
21510.025;Ingeniero electricista de líneas eléctricas
21510.026;Ingeniero electricista de producción de energía eléctrica
21510.027;Ingeniero electricista de transporte y distribución de energía
21510.028;Ingeniero eléctrico
21510.029;Ingeniero eléctrico de producción de energía
21510.030;Ingeniero electromecánico
21510.031;Ingeniero en distribución y redes eléctricas
21510.032;Inspector eléctrico
21510.033;Profesional CBM eléctrico (mantenimiento basado en condición)
21510.034;Profesional CBM electromecánico (mantenimiento basado en condición)
21510.035;Profesional de confiabilidad industrial petróleo y gas
21510.036;Profesional de gestión de proyectos e ingeniería T&D (transmisión y distribución)
21510.037;Profesional de mantenimiento redes T&D (transmisión y distribución)
21510.038;Profesional de mantenimiento subestaciones y líneas T&D (transmisión y distribución)
21510.039;Profesional de operación del sistema T&D (transmisión y distribución)
21510.040;Profesional de operación y mantenimiento T&D (transmisión y distribución)
21510.041;Tecnólogo de inspección eléctrica
21510.042;Profesional tecnologías operación T&D (transmisión y distribución)
2152;Ingenieros electrónicos, automatización y afines
21521;Ingenieros electrónicos
21521.001;Científico investigador electrónica
21521.002;Coordinador de diseño electrónico
21521.003;Diseñador de circuitos impresos (PCB)
21521.004;Diseñador electrónico
21521.005;Ingeniero de electrónica digital
21521.006;Ingeniero de electrónica y computación
21521.007;Ingeniero de equipos de cómputo
21521.008;Ingeniero de firmware
21521.009;Ingeniero de hardware de computadores
21521.010;Ingeniero de mantenimiento de equipos de cómputo
21521.011;Ingeniero de mantenimiento electrónico
21521.012;Ingeniero de semiconductores
21521.013;Ingeniero de sistemas embebidos
21521.014;Ingeniero de soporte en electrónica
21521.015;Ingeniero desarrollador en electrónica
21521.016;Ingeniero electrónico
21521.017;Ingeniero electrónico y de comunicaciones
21521.018;Ingeniero electrónico y de telecomunicaciones militar
21521.019;Ingeniero informático de hardware
21521.020;Tecnólogo de computación hardware
21521.021;Tecnólogo de ingeniería electrónica
21522;Ingenieros de automatización e instrumentación
21522.001;Ingeniero autotrónica
21522.002;Ingeniero de automatización e instrumentación
21522.003;Ingeniero de automatización e instrumentación industrial
21522.004;Ingeniero de automatización industrial
21522.005;Ingeniero de automatización/ instrumentación y control
21522.006;Ingeniero de control o automatización electrónica
21522.007;Ingeniero de instrumentación
21522.008;Ingeniero de instrumentación industrial
21522.009;Ingeniero de instrumentación y control de procesos
21522.010;Ingeniero de instrumentación y control de procesos industriales
21522.011;Ingeniero de procesos de automatización e instrumentación
21522.012;Ingeniero electrónico de automatización industrial
21522.013;Ingeniero electrónico de diseño de instrumentación industrial
21522.014;Ingeniero especialista en automatización y control
21522.016;Tecnólogo de autotrónica
21522.017;Tecnólogo de electromecatrónica
21522.018;Tecnólogo en automatización e instrumentación industrial
21522.019;Tecnólogo en automatización industrial
21522.020;Tecnólogo en instrumentación industrial
21522.021;Tecnólogo en mecatrónica industrial
2153;Ingenieros de telecomunicaciones, audio y sonido
21531;Ingenieros de telecomunicaciones
21531.001;Analista de sistemas en telecomunicaciones
21531.002;Arquitecto de infraestructura en telecomunicaciones
21531.003;Ingeniero de difusión
21531.004;Ingeniero de emisión
21531.005;Ingeniero de radar
21531.006;Ingeniero de radio
21531.007;Ingeniero de radiodifusión
21531.008;Ingeniero de redes de telecomunicaciones
21531.009;Ingeniero de señal y sistemas de telecomunicaciones
21531.010;Ingeniero de sistemas de radio
21531.011;Ingeniero de sistemas de televisión
21531.012;Ingeniero de sistemas y telecomunicaciones
21531.013;Ingeniero de soporte en telecomunicaciones
21531.014;Ingeniero de telecomunicaciones
21531.015;Ingeniero de telecomunicaciones de radar
21531.016;Ingeniero de telecomunicaciones de radio
21531.017;Ingeniero de telecomunicaciones de teléfonos
21531.018;Ingeniero de telecomunicaciones de televisión
21531.019;Ingeniero de teléfono
21531.020;Ingeniero de telégrafo
21531.021;Ingeniero de televisión
21531.022;Ingeniero de transmisión
21531.023;Ingeniero ejecutivo de cuenta en telecomunicaciones
21531.024;Interventor de sistemas de telecomunicaciones
21531.025;Tecnólogo de ingeniería de telecomunicaciones
21531.026;Tecnólogo de telecomunicaciones
21532;Ingenieros y productores de audio y sonido
21532.001;Diseñador de audio
21532.002;Diseñador de efectos de audio
21532.003;Diseñador de sonido
21532.004;Diseñador sonoro
21532.005;Ingeniero de acústica
21532.006;Ingeniero de audio y sonido
21532.007;Ingeniero de calibración musical
21532.008;Ingeniero de edición de sonido
21532.009;Ingeniero de grabación de sonido
21532.010;Ingeniero de grabación de sonido en vivo
21532.011;Ingeniero de mastering
21532.012;Ingeniero de masterización
21532.013;Ingeniero de mezcla
21532.014;Ingeniero de monitores de sonido
21532.015;Ingeniero de sistemas de audio
21532.016;Ingeniero de sonido
21532.017;Ingeniero de sonido en vivo
21532.018;Ingeniero de soporte de tecnologías del audio
21532.019;Postproductor de audio
21532.020;Productor de audio y sonido
21532.021;Productor técnico de sonido
21532.022;Restaurador de sonido
216;Arquitectos, planificadores, topógrafos y diseñadores
2161;Arquitectos
21610;Arquitectos
21610.001;Arquitecto
21610.002;Arquitecto constructor
21610.003;Arquitecto consultor
21610.004;Arquitecto de construcción industrial
21610.005;Arquitecto de construcción residencial
21610.006;Arquitecto de edificaciones
21610.007;Arquitecto de interiores
21610.008;Arquitecto de interiores de edificios
21610.009;Arquitecto de patrimonio
21610.010;Arquitecto director de proyectos
21610.011;Arquitecto diseñador
21610.012;Arquitecto edificador
21610.013;Arquitecto proyectista
21610.014;Arquitecto supervisor
21610.015;Arquitecto urbanista
21610.016;Tecnólogo de arquitectura
2162;Arquitectos paisajistas
21620;Arquitectos paisajistas
21620.001;Arquitecto de jardines
21620.002;Arquitecto de paisaje
21620.003;Arquitecto paisajista
2163;Diseñadores industriales, de moda, espacios y servicios
21631;Diseñadores industriales y de productos
21631.001;Diseñador creativo
21631.002;Diseñador de componentes de productos
21631.003;Diseñador de concepto
21631.004;Diseñador de empaques
21631.005;Diseñador de empaques, envases y embalajes
21631.006;Diseñador de mobiliario
21631.007;Diseñador de moldes
21631.008;Diseñador de moldes de productos
21631.009;Diseñador de moldes mecánicos
21631.010;Diseñador de objetos
21631.011;Diseñador de productos
21631.012;Diseñador de productos circulares
21631.013;Diseñador de productos industriales
21631.014;Diseñador industrial
21631.015;Diseñador naval
21631.016;Gestor de proyectos de diseño industrial
21631.017;Gestor estratégico de servicios de diseño de productos
21632;Diseñadores de vestuario y moda
21632.001;Dibujante de moda
21632.002;Diseñador de accesorios de vestuario
21632.003;Diseñador de calzado
21632.004;Diseñador de componentes
21632.005;Diseñador de estilismo e imagen
21632.006;Diseñador de indumentaria
21632.007;Diseñador de marroquinería
21632.008;Diseñador de moda
21632.009;Diseñador de moldes de prendas
21632.010;Diseñador de prendas
21632.011;Diseñador de producto de moda
21632.012;Diseñador de ropa
21632.013;Diseñador de ropa deportiva
21632.014;Diseñador de ropa interior
21632.015;Diseñador de vestido
21632.016;Diseñador de vestuario
21632.017;Diseñador de vestuario artístico y escénico
21632.018;Diseñador de vestuario especializado
21632.019;Diseñador de vestuario laboral
21632.020;Diseñador patronista
21632.021;Diseñador textil
21633;Diseñadores de espacios
21633.001;Decorador de espacios forestales interiores
21633.002;Decorador de estudios de grabación
21633.003;Decorador de utilería
21633.004;Diseñador acústico
21633.005;Diseñador de decoración
21633.006;Diseñador de escenarios
21633.007;Diseñador de escenografía
21633.008;Diseñador de espacios forestales
21633.009;Diseñador de espacios para sistemas culinarios y gastronómicos
21633.010;Diseñador de exhibiciones
21633.011;Diseñador de instalaciones efímeras funcionales
21633.012;Diseñador de interiores
21633.013;Diseñador de muestras visuales
21633.014;Diseñador de paisaje
21633.015;Diseñador de puestos de trabajo
21633.016;Diseñador de set
21633.017;Diseñador escaparatista
21633.018;Diseñador teatro
21634;Diseñadores de servicios
21634.001;Analista de contextos y tendencias de diseño de servicios
21634.002;Analista de mercado para el diseño de servicios
21634.003;Desarrollador de planes estratégicos e iniciativas de proyectos
21634.004;Desarrollador de portafolios y propuestas de valor
21634.005;Diseñador de escenarios futuros de negocios
21634.006;Diseñador de experiencias
21634.007;Diseñador de experiencias de servicio
21634.008;Diseñador de servicios alimentarios
21634.009;Diseñador de servicios culinarios
21634.010;Diseñador de servicios gastronómicos
21634.011;Diseñador de servicios para la innovación social
21634.012;Diseñador de sistemas de producto-servicio
21634.013;Diseñador del servicio de atención al cliente
21634.014;Gestor de la innovación en el negocio y el servicio
21634.015;Gestor de valor de marca y pilares del servicio al usuario
21635;Diseñadores de iluminación
21635.001;Diseñador de control lumínico
21635.002;Diseñador de iluminación arquitectónica
21635.003;Diseñador de iluminación artística para teatro
21635.004;Diseñador de iluminación artístico
21635.005;Diseñador de iluminación de escenarios deportivos
21635.006;Diseñador de iluminación de espacios
21635.007;Diseñador de iluminación de fachadas arquitectónicas
21635.008;Diseñador de iluminación escénica
21635.009;Diseñador de iluminación paisajística
21635.010;Diseñador de iluminación urbana
21635.011;Diseñador de iluminación vial y de túneles
2164;Planificadores urbanos, regionales y de tránsito
21640;Planificadores urbanos, regionales y de tránsito
21640.001;Analista de políticas y programas de transporte
21640.002;Analista programas de transporte
21640.003;Comandante de tránsito
21640.004;Planificador de ciudad
21640.005;Planificador de espacios comunitarios
21640.006;Planificador de la tierra
21640.007;Planificador de parques
21640.008;Planificador de tráfico
21640.009;Planificador de tránsito
21640.010;Planificador regional
21640.011;Planificador terrestre
21640.012;Planificador urbano
21640.013;Planificador urbano y regional
21640.014;Urbanista
21640.015;Urbanista planificador del uso del suelo
2165;Cartógrafos e ingenieros topográficos y catastrales
21650;Cartógrafos e ingenieros topográficos y catastrales
21650.001;Agrimensor aéreo
21650.002;Agrimensor aerofotógrafo
21650.003;Agrimensor topográfico
21650.004;Cartógrafo
21650.005;Cartógrafo marino
21650.006;Compilador cartográfico
21650.007;Consultor topográfico
21650.008;Coordinador topográfico de estudios y diseños
21650.009;Fotogrametrista
21650.010;Geodesta
21650.011;Hidrógrafo
21650.012;Ingeniero agrimensor
21650.013;Ingeniero catastral
21650.014;Ingeniero catastral y geodesta
21650.015;Ingeniero de cartografía
21650.016;Ingeniero en agrimensura
21650.017;Ingeniero en geomática
21650.018;Ingeniero en topografía
21650.019;Ingeniero geógrafo
21650.020;Ingeniero geógrafo y ambiental
21650.021;Ingeniero geomensor
21650.022;Ingeniero topográfico
21650.023;Ingeniero topográfico de construcción de vías y obras civiles
21650.024;Ingeniero topográfico de obra
21650.025;Ingeniero topográfico de vías y transporte
21650.026;Ingeniero topógrafo
21650.027;Profesional en topografía
21650.028;Profesional en topografía y geomática
21650.029;Profesional topográfico
21650.030;Profesional topográfico SIG (sistema de información geográfica)
21650.031;Tecnólogo de cartografía
21650.032;Topógrafo catastral
21650.033;Topógrafo de tierras
21650.034;Topógrafo fotográfico
21650.035;Topógrafo fotogramétrico
21650.036;Topógrafo geodésico
21650.037;Topógrafo minero
2166;Diseñadores gráficos y multimedia
21661;Diseñadores gráficos
21661.001;Comunicador gráfico
21661.002;Comunicador visual
21661.003;Dibujante publicitario de diseño gráfico
21661.004;Diseñador creativo gráfico
21661.005;Diseñador de afiche
21661.006;Diseñador de branding
21661.007;Diseñador de comunicación de elementos visuales
21661.008;Diseñador de comunicación gráfica
21661.009;Diseñador de comunicación visual
21661.010;Diseñador de concepto gráfico para embalajes
21661.011;Diseñador de concepto gráfico para empaques
21661.012;Diseñador de cubiertas de libros
21661.013;Diseñador de etiquetas
21661.014;Diseñador de identidad visual
21661.015;Diseñador de información
21661.016;Diseñador de narrativas y storyteller
21661.017;Diseñador de piezas visuales impresas
21661.018;Diseñador de productos y artículos impresos en 3D
21661.019;Diseñador de publicaciones
21661.020;Diseñador de sistemas de señalización pictogramas
21661.021;Diseñador editorial
21661.022;Diseñador gráfico
21661.023;Diseñador gráfico de exposiciones
21661.024;Diseñador heráldico
21661.025;Diseñador ilustrador
21661.026;Diseñador ilustrador científico
21661.027;Diseñador publicitario
21661.028;Diseñador tipográfico
21661.029;Diseñador visual
21661.030;Profesional en diseño gráfico
21661.031;Visualizador de datos (datavis)
21662;Diseñadores de imágenes computarizadas e interacción digital
21662.001;Animador 2D
21662.002;Animador 3D
21662.003;Animador de diseño gráfico
21662.004;Animador gráfico
21662.005;Animador gráfico y de multimedia
21662.006;Creativo de contenido multimedia
21662.007;Creativo de página web
21662.008;Creativo de sitio web
21662.009;Dibujante animador de diseño gráfico
21662.010;Diseñador 3D
21662.011;Diseñador analista de tendencias
21662.012;Diseñador artista digital
21662.013;Diseñador audiovisual
21662.014;Diseñador de animación
21662.015;Diseñador de animación y movimiento
21662.016;Diseñador de aplicaciones móviles
21662.017;Diseñador de arquitectura de contenidos
21662.018;Diseñador de comunicación visual e interactivos
21662.019;Diseñador de contenido de internet
21662.020;Diseñador de contenido UX (diseño de experiencia de usuario)
21662.021;Diseñador de contenidos digitales
21662.022;Diseñador de creación de contenidos digitales
21662.023;Diseñador de DVD (digital video disc)
21662.024;Diseñador de estrategias de comunicación
21662.025;Diseñador de experiencia de usuario
21662.026;Diseñador de experiencias digitales
21662.027;Diseñador de experiencias multimedia
21662.028;Diseñador de gráfica para televisión y títulos de películas
21662.029;Diseñador de HTLM (hypertext markup language)
21662.030;Diseñador de interacción
21662.031;Diseñador de interacción de producto digital
21662.032;Diseñador de interacción de servicios
21662.033;Diseñador de interfaces de concepto creativo
21662.034;Diseñador de interfaces de estrategias de comunicación
21662.035;Diseñador de interfaces de usuario
21662.036;Diseñador de juegos electrónicos
21662.037;Diseñador de juegos para computador
21662.038;Diseñador de mediaciones didácticas
21662.039;Diseñador de mediaciones didácticas digitales
21662.040;Diseñador de medios interactivos
21662.041;Diseñador de multimedia
21662.042;Diseñador de narrativas
21662.043;Diseñador de páginas web
21662.044;Diseñador de productos digitales, interfases e interacciones
21662.045;Diseñador de productos en digital
21662.046;Diseñador de sitio web
21662.047;Diseñador de videojuegos
21662.048;Diseñador digital
21662.049;Diseñador en visualización de datos
21662.050;Diseñador estratégico de contenido
21662.051;Diseñador estratégico de contenido multimedia
21662.052;Diseñador front-end
21662.053;Diseñador gráfico computarizado tridimensional
21662.054;Diseñador gráfico de animación
21662.055;Diseñador interactivo
21662.056;Diseñador investigador de usuario
21662.057;Diseñador IxD (diseño de interacción)
21662.058;Diseñador UI (diseño de interfaz de usuario)
21662.059;Diseñador UX (diseño de experiencia de usuario)
21662.060;Diseñador visual interactivo
21662.061;Diseñador web
21662.062;Diseñador web y multimedia
21662.063;Diseñador y productor audiovisual
21662.064;Tecnólogo de diseño por computador
22;PROFESIONALES DE LA SALUD 
221;Médicos
2211;Médicos generales
22110;Médicos generales
22110.001;Doctor de familia
22110.002;Doctor de medicina clínica
22110.003;Doctor de medicina general
22110.004;Doctor terapeuta de distrito médico
22110.005;Médico adjunto en medicina general
22110.006;Médico clínico general
22110.007;Médico de atención primaria
22110.008;Médico de atención primaria de salud
22110.009;Médico de cabecera
22110.010;Médico de familia
22110.011;Médico de medicina general
22110.012;Médico de urgencias
22110.013;Médico domiciliario
22110.014;Médico general
22110.015;Médico general practicante
22110.016;Médico residente
22110.017;Médico residente de medicina general
22110.018;Médico residente especializándose en la práctica general
22110.019;Médico residente especializándose en medicina general
22110.020;Médico terapeuta de zona
22110.021;Pasante médico
22110.022;Residente médico general
2212;Médicos especialistas
22120;Médicos especialistas
22120.001;Alergista clínico
22120.002;Anestesiólogo
22120.003;Anestesista
22120.004;Cardiólogo
22120.005;Cardiólogo intervencionista
22120.006;Cirujano
22120.007;Cirujano cardiotorácico
22120.008;Cirujano de cardiología
22120.009;Cirujano de cirugía plástica
22120.010;Cirujano de neurocirugía
22120.011;Cirujano de ortopedia
22120.012;Cirujano general
22120.013;Cirujano médico
22120.014;Cirujano ortopédico
22120.015;Cirujano osteopático
22120.016;Cirujano plástico
22120.017;Cirujano torácico
22120.018;Cirujano vascular
22120.019;Consultor de endocrinología
22120.020;Consultor médico especialista
22120.021;Dermatólogo
22120.022;Diabetólogo
22120.023;Doctor en anestesiología
22120.024;Doctor en cardiología
22120.025;Doctor en dermatología
22120.026;Doctor en ginecología
22120.027;Doctor en medicina especializada
22120.028;Doctor en neurología
22120.029;Doctor en obstetricia
22120.030;Doctor en oftalmología
22120.031;Doctor en otolaringología
22120.032;Doctor en otorrinolaringología
22120.033;Doctor en pediatría
22120.034;Doctor en psiquiatría
22120.035;Doctor en radiología
22120.036;Endocrinólogo
22120.037;Especialista de medicina de emergencias
22120.038;Especialista en cuidados intensivos
22120.039;Especialista en medicina interna
22120.040;Especialista en medicina nuclear
22120.041;Especialista en medicina ocupacional
22120.042;Especialista en medicina preventiva
22120.043;Especialista médico
22120.044;Especialista médico practicante de salud pública
22120.045;Fisiatra
22120.048;Gastroenterólogo
22120.049;Geriatra
22120.050;Gerontólogo
22120.051;Ginecobstetra
22120.052;Ginecólogo
22120.053;Hematólogo
22120.054;Hematólogo clínico
22120.055;Hematoncólogo
22120.056;Histopatólogo
22120.057;Infectólogo
22120.058;Inmunólogo clínico
22120.059;Internista
22120.060;Laringólogo
22120.061;Médico cardiología
22120.062;Médico cirujano
22120.063;Médico clínico especialista de medicina interna
22120.064;Médico de anestesiología
22120.065;Médico de cabecera especialista en salud pública
22120.066;Médico de osteopatía
22120.067;Médico de radiología
22120.068;Médico de salud ocupacional
22120.069;Médico deportólogo
22120.070;Médico especialista
22120.071;Médico especialista en medicina interna
22120.072;Médico especialista en medicina nuclear
22120.073;Médico especialista en salud pública
22120.074;Médico farmacólogo
22120.075;Médico fisiólogo
22120.076;Médico forense
22120.077;Médico gerontólogo
22120.078;Médico ginecobstetra
22120.079;Médico ginecobstetricia
22120.080;Médico infectólogo
22120.081;Médico internista
22120.082;Médico neumología
22120.083;Médico obstetricia
22120.084;Médico oftalmología
22120.085;Médico oncología
22120.086;Médico otorrinolaringología
22120.087;Médico pediatría
22120.088;Médico psiquiatría
22120.089;Médico residente de anestesia
22120.090;Médico residente de cardiología
22120.091;Médico residente de cuidados intensivos
22120.092;Médico residente de dermatología
22120.093;Médico residente de endocrinología
22120.094;Médico residente de gastroenterología
22120.095;Médico residente de geriatría
22120.096;Médico residente de ginecología
22120.097;Médico residente de medicina interna
22120.098;Médico residente de neurología
22120.099;Médico residente de obstetricia
22120.100;Médico residente de oftalmología
22120.101;Médico residente de oncología
22120.102;Médico residente de otorrinolaringología
22120.103;Médico residente de pediatría
22120.104;Médico residente de psiquiatría
22120.105;Médico residente de radiología
22120.106;Médico residente en formación de especialista
22120.107;Médico residente especialista
22120.108;Nefrólogo
22120.109;Neonatólogo
22120.110;Neumólogo
22120.111;Neurocirujano
22120.112;Neurofisiólogo clínico
22120.113;Neurólogo
22120.114;Neuropatólogo
22120.115;Obstetra
22120.116;Oftalmólogo
22120.117;Oncólogo
22120.118;Oncólogo radiólogo
22120.119;Oncólogo radioterapeuta
22120.120;Ortopedista
22120.121;Ortopedista traumatólogo
22120.122;Otólogo
22120.123;Otorrinolaringólogo
22120.124;Pasante médico en formación especializada
22120.125;Patólogo
22120.126;Patólogo clínico
22120.127;Patólogo forense
22120.128;Patólogo histopatólogo
22120.129;Patólogo humano
22120.130;Patólogo médico
22120.131;Patólogo neuropatólogo
22120.132;Patólogo quirúrgico
22120.133;Pediatra
22120.134;Psiquiatra
22120.135;Radiólogo
22120.136;Residente médico especialista
22120.137;Reumatólogo
22120.138;Rinólogo
22120.139;Traumatólogo
22120.140;Urólogo
222;Profesionales de enfermería y de partería
2221;Profesionales de enfermería
22210;Profesionales de enfermería
22210.001;Consultor de enfermería clínica
22210.002;Coordinador enfermería
22210.003;Enfermería de atención domiciliaria
22210.004;Enfermero
22210.005;Enfermero cirugía
22210.006;Enfermero consultorio
22210.007;Enfermero coordinador
22210.008;Enfermero cuidados intensivos
22210.009;Enfermero especialista
22210.010;Enfermero obstetricia
22210.011;Enfermero oncología
22210.012;Enfermero profesional
22210.013;Enfermero profesional de obstetricia
22210.014;Enfermero profesional de pediatría
22210.015;Enfermero profesional de psiquiatría
22210.016;Enfermero profesional de salud ocupacional
22210.017;Enfermero psiquiatría
22210.018;Enfermero salud ocupacional
22210.019;Enfermero salud pública
22210.020;Practicante de enfermería profesional
22210.021;Profesional de enfermería
22210.022;Profesional de enfermería clínica
22210.023;Profesional de enfermería consultor clínico
22210.024;Profesional de enfermería de anestesia
22210.025;Profesional de enfermería de cirugía
22210.026;Profesional de enfermería de cuidado neonatal
22210.027;Profesional de enfermería de cuidados intensivos
22210.028;Profesional de enfermería de cuidados paliativos
22210.029;Profesional de enfermería de distrito
22210.030;Profesional de enfermería de nefrología
22210.031;Profesional de enfermería de obstetricia
22210.032;Profesional de enfermería de oncología
22210.033;Profesional de enfermería de psiquiatría
22210.034;Profesional de enfermería de quirófano
22210.035;Profesional de enfermería de sala de operaciones
22210.036;Profesional de enfermería de salud mental
22210.037;Profesional de enfermería de salud ocupacional
22210.038;Profesional de enfermería de salud pública
22210.039;Profesional de enfermería de salud sexual y reproductiva
22210.040;Profesional de enfermería de salud y seguridad en el trabajo
22210.041;Profesional de enfermería educador
22210.042;Profesional de enfermería especialista
22210.043;Profesional de enfermería especialista en salud pública
22210.044;Profesional de enfermería familiar y comunitaria
22210.045;Profesional de enfermería industrial
22210.046;Profesional de enfermería materno perinatal
22210.047;Profesional de enfermería ortopédica
22210.048;Profesional de enfermería registrado
22210.049;Supervisor de auxiliares de enfermería
22210.050;Supervisor de enfermería
22210.051;Enfermera
2222;Profesionales de partería
22220;Profesionales de partería
22220.001;Partera profesional
22220.002;Profesional de partería
22220.003;Profesional de partería educador
22220.004;Profesional partera
223;Profesionales de medicina tradicional y alternativa
2230;Profesionales de medicina tradicional y alternativa
22300;Profesionales de medicina tradicional y alternativa
22300.001;Acupunturista
22300.002;Doctor en homeopatía
22300.003;Doctor en medicina china
22300.004;Doctor en naturopatía
22300.005;Especialista en medicina china
22300.006;Herbolario de medicina china
22300.007;Hipnoterapeuta
22300.008;Homeópata
22300.009;Médico ayurvédico
22300.010;Médico homeópata
22300.011;Médico naturópata
22300.012;Médico neuralterapéutico
22300.013;Médico tradicional chino
22300.014;Médico unani
22300.015;Naturópata
22300.016;Profesional ayuvérdico
22300.017;Profesional de acupuntura
22300.018;Profesional de medicina alternativa
22300.019;Profesional de medicina china
22300.020;Profesional de medicina china a base de hierbas
22300.021;Profesional de medicina china herbolaria
22300.022;Profesional de medicina herbal china
22300.023;Profesional de medicina tradicional china
22300.024;Profesional homeópata
22300.025;Profesional unani
22300.026;Reikista profesional
22300.027;Terapeuta alternativo
22300.028;Terapeuta bionergético
22300.029;Terapeuta con filtros energéticos
22300.030;Terapeuta de medicina unani
22300.031;Terapeuta de reiki
22300.032;Terapeuta manual alternativo
224;Paramédicos e instrumentadores quirúrgicos
2240;Paramédicos e instrumentadores quirúrgicos
22401;Paramédicos
22401.001;Asistente clínico de diagnóstico y tratamiento de pacientes
22401.002;Asistente médico de diagnóstico y tratamiento de pacientes
22401.003;Especialista clínico paramédico
22401.004;Feldscher o médico rural
22401.005;Feldscher o profesional de la salud rural
22401.006;Paramédico
22401.007;Paramédico clínico
22401.008;Paramédico de atención avanzada
22401.009;Paramédico de atención en urgencias médicas primarias
22401.010;Paramédico de atención primaria
22401.011;Paramédico de cuidado avanzado
22401.012;Paramédico profesional
22401.013;Practicante médico
22401.014;Practicante paramédico
22401.015;Profesional en atención prehospitalaria
22401.016;Profesional paramédico
22401.017;Técnico de cesárea
22402;Instrumentadores quirúrgicos
22402.001;Instrumentador quirúrgico
22402.002;Instrumentador quirúrgico profesional
22402.003;Profesional en instrumentación quirúrgica
225;Veterinarios
2250;Veterinarios
22500;Veterinarios
22500.001;Cirujano veterinario
22500.002;Epidemiólogo veterinario
22500.003;Médico veterinario
22500.004;Médico veterinario zootecnista
22500.005;Pasante veterinario
22500.006;Patólogo de animales
22500.008;Patólogo veterinario
22500.010;Veterinario
22500.011;Veterinario cirujano
22500.012;Veterinario de cirugía
22500.013;Veterinario epidemiólogo
22500.014;Veterinario especialista
22500.015;Veterinario pasante
22500.016;Veterinario patología
22500.017;Veterinario zootecnista
226;Otros profesionales de la salud
2261;Odontólogos
22610;Odontólogos
22610.001;Cirujano bucodental
22610.002;Cirujano dental
22610.003;Cirujano maxilofacial
22610.004;Cirujano oral
22610.005;Cirujano oral y maxilofacial
22610.006;Dentista
22610.007;Endodoncista
22610.008;Estomatólogo
22610.009;Implantólogo oral
22610.010;Odontólogo
22610.011;Odontólogo de pediatría
22610.012;Odontólogo de salud pública
22610.013;Odontólogo especialista
22610.014;Odontólogo pediatra
22610.015;Odontólogo prostodoncista
22610.016;Ortodoncista
22610.017;Patólogo oral
22610.018;Pedodoncista
22610.019;Periodoncista
22610.020;Profesional dental
22610.021;Prostodoncista
2262;Farmacéuticos y químicos farmacéuticos
22620;Farmacéuticos y químicos farmacéuticos
22620.001;Analista químico farmacéutico
22620.002;Boticario
22620.003;Desarrollador de fármacos
22620.004;Desarrollador galénico
22620.005;Director técnico farmacéutico
22620.006;Dispensador químico
22620.007;Farmaceuta
22620.008;Farmaceuta hospitalario
22620.009;Farmaceuta industrial
22620.010;Farmacéutico
22620.011;Farmacéutico al por menor
22620.012;Farmacéutico comunitario
22620.013;Farmacéutico hospitalario
22620.014;Farmacéutico industrial
22620.015;Jefe farmacia
22620.016;Pasante de farmacia
22620.017;Químico al detal
22620.018;Químico de dispensación
22620.019;Químico de farmacéutica
22620.020;Químico de farmacología
22620.021;Químico farmacéutico
22620.022;Químico farmacéutico especialista en asuntos regulatorios
22620.023;Químico farmacéutico especialista en farmacología
22620.024;Químico farmacéutico hospitalario
22620.025;Químico farmacéutico industrial
22620.026;Químico farmacéutico jefe de control de calidad
22620.027;Químico farmacéutico jefe de producción
22620.028;Químico hospitalario
2263;Profesionales de la salud y la higiene laboral y ambiental
22630;Profesionales de la salud y la higiene laboral y ambiental
22630.001;Analista de salud ocupacional
22630.002;Asesor de higiene laboral
22630.003;Asesor de protección radiológica
22630.004;Asesor de salud ambiental
22630.005;Asesor de salud y seguridad en el trabajo
22630.006;Asesor de salud y seguridad ocupacional
22630.007;Asesor en prevención de riesgos laborales
22630.008;Asesor en prevención de riesgos ocupacionales
22630.009;Asesor en seguridad y salud en el trabajo
22630.010;Consultor de higiene laboral
22630.011;Consultor de protección radiológica
22630.012;Consultor de salud ambiental
22630.013;Consultor de salud y seguridad en el trabajo
22630.014;Coordinador de salud ocupacional
22630.015;Coordinador en prevención de riesgos laborales
22630.016;Coordinador en seguridad y salud en el trabajo
22630.017;Coordinador HSEQ (salud, seguridad, medio ambiente y calidad)
22630.018;Ergonomista
22630.019;Ergonomista laboral
22630.020;Especialista en protección radiológica
22630.021;Especialista en salud ambiental
22630.022;Especialista en salud pública
22630.023;Especialista en salud y seguridad ocupacional
22630.024;Especialista en seguridad de personal
22630.025;Especialista en seguridad y salud en el trabajo
22630.026;Experto de protección de radiación
22630.027;Experto de protección radiológica
22630.028;Funcionario de salud ambiental
22630.029;Higienista ocupacional
22630.030;Profesional de higiene en el trabajo
22630.031;Profesional de la salud y la higiene laboral y ambiental
22630.032;Profesional en seguridad y salud en el trabajo
22630.033;Salubrista
2264;Fisioterapeutas
22640;Fisioterapeutas
22640.001;Ergoterapeuta
22640.002;Fisioterapeuta
22640.003;Fisioterapeuta especialista en seguridad y salud en el trabajo
22640.004;Fisioterapeuta geriátrico
22640.005;Fisioterapeuta ortopédico
